,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,Edge Weight
lindale58197356,us,,,,,,,,,,68,,,Mentions,4/30/2019 16:36,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:36,https://twitter.com/#!/lindale58197356/status/1123264868520472578,,,1123264868520472578,,1
lindale58197356,natlparkservice,,,,,,,,,,69,,,Mentions,4/30/2019 16:36,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:36,https://twitter.com/#!/lindale58197356/status/1123264868520472578,,,1123264868520472578,,1
lindale58197356,flotus,,,,,,,,,,70,,,Mentions,4/30/2019 16:36,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:36,https://twitter.com/#!/lindale58197356/status/1123264868520472578,,,1123264868520472578,,1
teinboao,whitehouse,,,,,,,,,,71,,,Mentions,4/30/2019 16:37,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse You rock! Always so elegant and tastefully simple.,,,,4/30/2019 16:37,https://twitter.com/#!/teinboao/status/1123265130085720068,,,1123265130085720068,1122880769347719169,1
teinboao,usda_ars,,,,,,,,,,72,,,Mentions,4/30/2019 16:37,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse You rock! Always so elegant and tastefully simple.,,,,4/30/2019 16:37,https://twitter.com/#!/teinboao/status/1123265130085720068,,,1123265130085720068,1122880769347719169,1
teinboao,natlparkservice,,,,,,,,,,73,,,Mentions,4/30/2019 16:37,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse You rock! Always so elegant and tastefully simple.,,,,4/30/2019 16:37,https://twitter.com/#!/teinboao/status/1123265130085720068,,,1123265130085720068,1122880769347719169,1
teinboao,flotus,,,,,,,,,,74,,,Replies to,4/30/2019 16:37,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse You rock! Always so elegant and tastefully simple.,,,,4/30/2019 16:37,https://twitter.com/#!/teinboao/status/1123265130085720068,,,1123265130085720068,1122880769347719169,1
realkitchenzink,us,,,,,,,,,,75,,,Mentions,4/30/2019 16:38,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:38,https://twitter.com/#!/realkitchenzink/status/1123265408780328960,,,1123265408780328960,,1
realkitchenzink,natlparkservice,,,,,,,,,,76,,,Mentions,4/30/2019 16:38,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:38,https://twitter.com/#!/realkitchenzink/status/1123265408780328960,,,1123265408780328960,,1
realkitchenzink,flotus,,,,,,,,,,77,,,Mentions,4/30/2019 16:38,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:38,https://twitter.com/#!/realkitchenzink/status/1123265408780328960,,,1123265408780328960,,1
